GENER00  1.00e+25  1.00e-06                                0.00  
VERTICES
 ed 752871.47 573248.80
 ee 753626.18 572592.74
 ef 754380.89 571936.68
 eg 755135.60 571280.63
 eh 755890.31 570624.57
 ei 756645.02 569968.51
 ej 757399.73 569312.45
 ek 758154.44 568656.39
 el 758909.15 568000.33
 em 759663.86 567344.27
 en 760418.57 566688.21
 eo 761173.28 566032.15
 ep 761927.99 565376.09
 eq 762682.70 564720.04
 er 763437.41 564063.98
 es 764192.12 563407.92
 et 764946.83 562751.86
 eu 747489.85 579251.98
 ev 748244.56 578595.93
 ew 748999.27 577939.87
 ex 749753.98 577283.81
 ey 750508.69 576627.75
 ez 751263.40 575971.69
 fa 752018.11 575315.63
 fb 752772.82 574659.57
 fc 753527.53 574003.51
 fd 754282.24 573347.45
 fe 755036.95 572691.39
 ff 755791.66 572035.34
 fg 756546.37 571379.28
 fh 757301.08 570723.22
 fi 758055.79 570067.16
 fj 758810.50 569411.10
 fk 759565.21 568755.04
 fl 760319.92 568098.98
 fm 761074.63 567442.92
 fn 761829.34 566786.86
 fo 762584.05 566130.80
 fp 763338.76 565474.75
 fq 764093.46 564818.69
 fr 764848.17 564162.63
 fs 765602.88 563506.57
 ft 748145.91 580006.69
 fu 748900.62 579350.64
 fv 749655.33 578694.58
 fw 750410.04 578038.52
 fx 751164.75 577382.46
 fy 751919.46 576726.40
 fz 752674.17 576070.34
 ga 753428.88 575414.28
 gb 754183.59 574758.22
 gc 754938.30 574102.16
 gd 755693.01 573446.10
 ge 756447.72 572790.04
 gf 757202.43 572133.99
 gg 757957.14 571477.93
 gh 758711.85 570821.87
 gi 759466.56 570165.81
 gj 760221.27 569509.75
 gk 760975.98 568853.69
 gl 761730.69 568197.63
 gm 762485.40 567541.57
 gn 763240.10 566885.51
 go 763994.81 566229.45
 gp 764749.52 565573.40
 gq 765504.23 564917.34
 gr 766258.94 564261.28
 gs 748801.97 580761.40
 gt 749556.68 580105.34
 gu 750311.39 579449.29
 gv 751066.10 578793.23
 gw 751820.81 578137.17
 gx 752575.52 577481.11
 gy 753330.23 576825.05
 gz 754084.94 576168.99
 ha 754839.65 575512.93
 hb 755594.36 574856.87
 hc 756349.07 574200.81
 hd 757103.78 573544.75
 he 757858.49 572888.70
 hf 758613.20 572232.64
 hg 759367.91 571576.58
 hh 760122.62 570920.52
 hi 760877.33 570264.46
 hj 761632.04 569608.40
 hk 762386.74 568952.34
 hl 763141.45 568296.28
 hm 763896.16 567640.22
 hn 764650.87 566984.16
 ho 765405.58 566328.11
 hp 766160.29 565672.05
 hq 766915.00 565015.99
 hr 749458.03 581516.11
 hs 750212.74 580860.05
 ht 750967.45 580204.00
 hu 751722.16 579547.94
