GENER00  1.00e+25  1.00e-06                                0.00
VERTICES
alq 767794.52 578144.64
alr 772530.37 590578.52
als 757793.89 568975.90
alt 758667.57 576816.30
alu 768541.67 577509.64
alv 773192.52 591333.08
alw 758471.02 569741.41
alx 759512.72 576081.67
aly 769275.36 576876.79
alz 773864.27 592083.46
ama 759142.17 570500.59
amb 760152.41 575532.05
amc 770030.07 576220.73
amd 774544.93 592824.44
ame 759806.17 571253.73
amf 760927.03 574870.42
amg 775194.72 593593.88
amh 760463.90 572002.71
ami 761699.91 574205.78
amj 775850.79 594348.59
amk 761115.01 572750.36
aml 762474.16 573532.80
amm 761763.98 573497.56
amn 763252.62 572853.13
amo 762410.79 574240.77
amp 764039.85 572158.61
amq 766851.04 589547.64
amr 754955.54 568787.12
ams 764682.95 571593.82
amt 763052.87 574984.21
amu 767725.35 588764.21
amv 755646.18 569550.88
amw 763699.90 575732.83
amx 768418.35 588165.73
amy 756318.07 570268.26
amz 764347.83 576483.21
ana 769179.63 587519.49
anb 757004.76 570989.04
anc 764998.54 577235.08
and 769957.47 586850.55
ane 757574.05 571730.41
anf 765655.95 577986.43
ang 770726.16 586182.75
anh 758275.89 572592.29
ani 766319.86 578747.11
anj 771494.98 585513.61
ank 758930.63 573328.56
anl 766982.96 579512.75
anm 762236.01 584292.26
ann 772265.85 584842.32
ano 759575.93 574076.53
anp 763114.40 583514.18
anq 767643.48 580280.49
anr 773041.10 584169.53
ans 760217.93 574823.88
ant 763968.22 582772.40
anu 768298.54 581046.47
anv 773853.98 583604.63
anw 760861.44 575579.43
anx 764613.95 582223.63
any 768946.66 581806.95
anz 774523.84 582914.46
aoa 761508.02 576327.64
aob 765391.07 581555.53
aoc 769591.99 582559.25
aod 775278.55 582258.41
aoe 762162.11 577070.25
aof 766160.61 580890.90
aog 770240.50 583303.24
aoh 762808.93 577816.72
aoi 766929.87 580227.36
aoj 770894.99 584048.25
aok 757634.39 579032.21
aol 763464.18 578574.09
aom 767696.95 579567.12
aon 771552.25 584800.90
aoo 758486.34 578280.99
aop 764126.97 579332.24
aoq 768454.05 578913.24
aor 772208.06 585555.18
aos 759310.64 577557.33
aot 764787.75 580084.41
aou 769195.85 578270.39
aov 772864.24 586311.07
aow 760157.83 576829.48
aox 765447.01 580843.08
aoy 769931.42 577631.51
aoz 773520.26 587067.62
apa 760795.14 576286.26
apb 766103.34 581603.97
apc 770686.13 576975.45
apd 774178.87 587824.43
ape 761571.26 575617.71
apf 766757.24 582364.85
apg 774833.36 588582.32
aph 762342.42 574947.41
api 767409.42 583123.26
apj 775488.47 589338.33
apk 763120.49 574276.15
apl 768058.39 583880.30
apm 776145.91 590089.08
apn 763903.66 573600.25
apo 768708.93 584634.45
app 776741.36 590863.51
apq 764704.68 572907.62
apr 769361.24 585386.41
aps 767517.38 590305.37
apt 777458.85 591625.71
apu 765339.01 572348.54
apv 770014.73 586139.57
apw 768399.26 589541.92
apx 778114.92 592380.42
apy 766093.72 571692.47
apz 770670.03 586894.31
aqa 769084.47 588946.66
aqb 773310.37 579994.29
aqc 768668.64 575416.70
aqd 768820.53 591827.29
aqe 769324.69 576171.41
aqf 769713.75 591047.61
aqg 769980.74 576926.12
aqh 770399.56 590451.72
aqi 770636.80 577680.83
aqj 771165.26 589782.24
aqk 771292.86 578435.54
aql 771930.01 589113.90
aqm 771948.93 579190.25
aqn 772696.40 588447.41
aqo 772604.98 579944.96
aqp 773465.40 587780.18
aqq 764212.47 586560.68
aqr 773261.04 580699.67
aqs 774232.49 587110.27
aqt 765096.26 585785.89
aqu 773917.10 581454.38
aqv 774983.96 586384.31
aqw 765925.06 585060.67
aqx 774573.17 582209.08
aqy 775716.30 585878.08
aqz 766571.01 584497.28
ara 775229.22 582963.79
arb 776492.01 585178.59
arc 767348.88 583831.88
ard 775885.28 583718.50
are 777246.72 584522.54
arf 768118.59 583171.94
arg 776541.33 584473.21
arh 768886.44 582513.08
ari 777197.40 585227.92
arj 769653.37 581856.22
ark 770430.23 581195.44
arl 771233.82 580481.05
arm 771899.60 579895.64
arn 772654.31 579239.57
aro 769479.94 592580.16
arp 770360.89 591796.39
arq 771047.15 591201.74
arr 771816.96 590533.01
ars 772584.70 589867.54
art 773350.79 589203.43
aru 774120.26 588537.82
arv 764865.63 587311.05
arw 774891.24 587873.67
arx 765754.78 586540.61
ary 775678.42 587219.28
arz 766586.93 585815.29
asa 776356.34 586623.40
asb 767225.70 585257.15
asc 777148.07 585933.30
asd 767999.62 584589.48
ase 768767.52 583926.53
asf 769533.89 583263.41
asg 770296.79 582598.63
ash 771062.67 581917.82
asi 771877.06 581210.40
asj 772555.66 580650.34
ask 755677.34 576771.03
asl 756549.53 576033.97
asm 757356.59 575326.05
asn 758153.53 574605.18
aso 758852.67 574027.87
asp 759642.56 573370.85
asq 760405.80 572710.08
asr 771491.79 594887.35
ass 761175.41 572041.62
ast 772338.94 594082.48
asu 761950.69 571366.43
asv 773132.15 593543.36
asw 762778.65 570711.14
asx 773838.34 592801.60
asy 763370.83 570084.41
asz 774570.18 592112.40
ata 775305.95 591457.28
atb 776067.29 590780.52
atc 776826.72 590178.75
atd 777602.43 589485.75
ate 778541.27 588697.96
atf 756325.20 577527.60
atg 757191.12 576781.24
ath 758017.19 576066.30
ati 758823.57 575330.56
atj 759504.36 574768.02
atk 760284.29 574119.29
atl 761053.99 573457.60
atm 761826.02 572789.16
atn 773046.10 594781.26
ato 762603.90 572113.21
atp 773731.00 594199.57
atq 763382.88 571426.63
atr 774465.11 593505.37
ats 764026.89 570839.11
att 775245.20 592870.47
atu 775973.62 592213.26
